supplier_name,supplier_part_no,customer_name,customer_part_no,manufacture_name,site,site_db,invoice_no,arn_no,asn_no,arn_type,eta,quantity
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,2.02E+13,A000601415,,C2H,2020/10/22 8:33,10000
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,2.02E+11,A000612143,,C2H,2020/11/20 11:05,224
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,2.02E+13,A000629213,,C2H,2021/1/12 2:51,13800
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,2.02E+11,A000634525,,C2H,2021/1/27 0:18,7
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,2.02E+11,A000661508,,C2H,2021/4/28 3:45,4
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,2.02E+11,A000662759,,C2H,2021/5/4 8:30,517
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,2.02E+12,A000696191,,C2H,2021/8/21 7:34,1000
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,2.02E+13,A000773380,,C2H,2022/5/16 11:00,1803
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,2.02E+11,A000850272,,C2H,2023/1/9 5:37,24
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,2.02E+11,CA00004826,,C2H,2023/3/4 7:55,9
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,90356524,A000572450,N000524686,S2H,2020/8/6 16:00,171
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,90357731,A000578785,N000530809,S2H,2020/8/24 16:00,72000
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,90357732,A000578792,N000530817,S2H,2020/8/23 16:00,386
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,90358327,A000582624,N000534603,S2H,2020/9/3 16:00,122400
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,90358328,A000582629,N000534608,S2H,2020/9/3 16:00,27600
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,90358749,A000585023,N000537022,S2H,2020/9/10 16:00,115200
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,90359287,A000587942,N000539834,S2H,2020/9/18 16:00,122400
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,90359570,A000590756,N000542539,S2H,2020/9/23 16:00,72000
9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,CD,EVMI2CD,90359660,A000590781,N000542575,S2H,2020/9/24 16:00,108000
