customer_name,customer_part_no,manufacture_name,supplier_name,supplier_part_no,site,inventorydt,quantity
d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,EVMI2CD,2022/9/1 0:00,457778
d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,EVMI2CD,2022/9/2 0:00,429218
d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,EVMI2CD,2022/9/3 0:00,565778
d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,EVMI2CD,2022/9/4 0:00,560778
d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,EVMI2CD,2022/9/5 0:00,522818
d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,EVMI2CD,2022/9/6 0:00,503138
d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,EVMI2CD,2022/9/7 0:00,487298
d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,EVMI2CD,2022/9/8 0:00,455618
d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,EVMI2CD,2022/9/9 0:00,418418
d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,EVMI2CD,2022/9/10 0:00,388418
