customer_name,customer_part_no,pre,real,smape,eta
d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,304901.03,236529,0.39275852,2022/12/16
d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,305008.62,106712,0.39275852,2022/12/23
d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,305116.21,,,2022/12/30
d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,305223.8,,,2023/1/6
