,index,customer_name,customer_part_no,site_db,eta,quantity,time_idx
37,37,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/10/10,6910,10
38,38,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/11/7,5680,11
39,39,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/12/5,7105,12
40,40,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2023/1/2,4900,13
41,41,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/4/11,2400,0
42,42,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/5/9,8145,1
43,43,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/6/6,1188,2
44,44,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/7/4,3592,3
45,45,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/8/1,5190,4
46,46,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/8/29,1213,5
47,47,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/9/26,2739,6
48,48,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/10/24,688,7
49,49,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/11/21,422,8
50,50,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/12/19,900,9
51,51,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2023/1/16,3160,10
52,52,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/2/14,280000,0
53,53,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/3/14,1540000,1
54,54,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/4/11,0,2
55,55,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/5/9,0,3
56,56,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/6/6,0,4
57,57,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/7/4,370000,5
58,58,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/8/1,470000,6
59,59,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/8/29,530000,7
60,60,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/9/26,400000,8
61,61,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/10/24,320000,9
62,62,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/11/21,310000,10
63,63,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/12/19,510000,11
64,64,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2023/1/16,100000,12
65,65,7e0d847c78df7e95d8e8779df7557fbc,0ebfac40ff24b21247bb349489097449,EVMI2CD,2022/5/16,200,0
66,66,7e0d847c78df7e95d8e8779df7557fbc,0ebfac40ff24b21247bb349489097449,EVMI2CD,2022/6/13,11310,1
67,67,7e0d847c78df7e95d8e8779df7557fbc,0ebfac40ff24b21247bb349489097449,EVMI2CD,2022/7/11,0,2
68,68,7e0d847c78df7e95d8e8779df7557fbc,0ebfac40ff24b21247bb349489097449,EVMI2CD,2022/8/8,1200,3
69,69,7e0d847c78df7e95d8e8779df7557fbc,0ebfac40ff24b21247bb349489097449,EVMI2CD,2022/9/5,42000,4
70,70,7e0d847c78df7e95d8e8779df7557fbc,0ebfac40ff24b21247bb349489097449,EVMI2CD,2022/10/3,120691,5
71,71,7e0d847c78df7e95d8e8779df7557fbc,0ebfac40ff24b21247bb349489097449,EVMI2CD,2022/10/31,131037,6
72,72,7e0d847c78df7e95d8e8779df7557fbc,0ebfac40ff24b21247bb349489097449,EVMI2CD,2022/11/28,139900,7
73,73,7e0d847c78df7e95d8e8779df7557fbc,0ebfac40ff24b21247bb349489097449,EVMI2CD,2022/12/26,31700,8
74,74,7e0d847c78df7e95d8e8779df7557fbc,1ea3b6ce6d51c67555878869f2c2c8f3,EVMI2CD,2022/5/2,200,0
75,75,7e0d847c78df7e95d8e8779df7557fbc,1ea3b6ce6d51c67555878869f2c2c8f3,EVMI2CD,2022/5/30,0,1
76,76,7e0d847c78df7e95d8e8779df7557fbc,1ea3b6ce6d51c67555878869f2c2c8f3,EVMI2CD,2022/6/27,2960,2
77,77,7e0d847c78df7e95d8e8779df7557fbc,1ea3b6ce6d51c67555878869f2c2c8f3,EVMI2CD,2022/7/25,2000,3
78,78,7e0d847c78df7e95d8e8779df7557fbc,1ea3b6ce6d51c67555878869f2c2c8f3,EVMI2CD,2022/8/22,35500,4
