supplier_name,supplier_part_no,customer_name,customer_part_no,manufacture_name,site_db,site,arn_no,asn_no,invoice_no,asn_status,iscanceled,quantity,asn_create_datetime
3138b8e6061fdf7cfaaa79279175cbcd,10bb6c5ed707f376d367058dcf2f356a,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,209f1389bf8e3580d6de03e1d387be23,3138b8e6061fdf7cfaaa79279175cbcd,EVMI2CD,CD,A000747383,N000675522,ABC1111111,Commit,0,132,2022/2/19 9:56
3138b8e6061fdf7cfaaa79279175cbcd,10bb6c5ed707f376d367058dcf2f356a,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,209f1389bf8e3580d6de03e1d387be23,3138b8e6061fdf7cfaaa79279175cbcd,EVMI2CD,CD,A000749109,N000677008,EHD2210490,Commit,0,2112,2022/2/25 9:11
3138b8e6061fdf7cfaaa79279175cbcd,10bb6c5ed707f376d367058dcf2f356a,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,209f1389bf8e3580d6de03e1d387be23,3138b8e6061fdf7cfaaa79279175cbcd,EVMI2CD,CD,A000749109,N000677008,EHD2210608,Commit,0,3432,2022/2/25 9:11
3138b8e6061fdf7cfaaa79279175cbcd,10bb6c5ed707f376d367058dcf2f356a,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,209f1389bf8e3580d6de03e1d387be23,3138b8e6061fdf7cfaaa79279175cbcd,EVMI2CD,CD,A000749109,N000677008,EHD2210609,Commit,0,3960,2022/2/25 9:11
3138b8e6061fdf7cfaaa79279175cbcd,10bb6c5ed707f376d367058dcf2f356a,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,209f1389bf8e3580d6de03e1d387be23,3138b8e6061fdf7cfaaa79279175cbcd,EVMI2CD,CD,A000749109,N000677008,EHD2210676,Commit,0,880,2022/2/25 9:11
3138b8e6061fdf7cfaaa79279175cbcd,10bb6c5ed707f376d367058dcf2f356a,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,209f1389bf8e3580d6de03e1d387be23,3138b8e6061fdf7cfaaa79279175cbcd,EVMI2CD,CD,A000749109,N000677008,EHD2210677,Commit,0,1312,2022/2/25 9:11
3138b8e6061fdf7cfaaa79279175cbcd,10bb6c5ed707f376d367058dcf2f356a,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,209f1389bf8e3580d6de03e1d387be23,3138b8e6061fdf7cfaaa79279175cbcd,EVMI2CD,CD,A000749109,N000677008,EHD2220264,Commit,0,264,2022/2/25 9:11
3138b8e6061fdf7cfaaa79279175cbcd,10bb6c5ed707f376d367058dcf2f356a,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,209f1389bf8e3580d6de03e1d387be23,3138b8e6061fdf7cfaaa79279175cbcd,EVMI2CD,CD,A000749109,N000677008,EHD2220265,Commit,0,264,2022/2/25 9:11
3138b8e6061fdf7cfaaa79279175cbcd,10bb6c5ed707f376d367058dcf2f356a,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,209f1389bf8e3580d6de03e1d387be23,3138b8e6061fdf7cfaaa79279175cbcd,EVMI2CD,CD,A000749109,N000677008,EHD2220267,Commit,0,264,2022/2/25 9:11
3138b8e6061fdf7cfaaa79279175cbcd,10bb6c5ed707f376d367058dcf2f356a,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,209f1389bf8e3580d6de03e1d387be23,3138b8e6061fdf7cfaaa79279175cbcd,EVMI2CD,CD,A000751047,N000678743,1235151079,Commit,0,5808,2022/3/3 15:38
