,index,customer_name,customer_part_no,site_db,eta,quantity,time_idx
0,0,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-01-17,9,0
1,1,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-02-07,368,1
2,2,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-02-28,339,2
3,3,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-03-21,0,3
4,4,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-04-11,30,4
5,5,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-05-02,210,5
6,6,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-05-23,56,6
7,7,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-06-13,67,7
8,8,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-07-04,471,8
9,9,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-07-25,55,9
10,10,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-08-15,106,10
11,11,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-09-05,332,11
12,12,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-09-26,100,12
13,13,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-10-17,531,13
14,14,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-11-07,635,14
15,15,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-11-28,371,15
16,16,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-12-19,272,16
17,17,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022-01-10,20000,0
18,18,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022-01-31,10000,1
19,19,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022-02-21,60000,2
20,20,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022-03-14,1290000,3
21,21,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022-04-04,0,4
22,22,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022-04-25,0,5
