,index,customer_name,customer_part_no,site_db,eta,quantity,time_idx
0,0,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-01-17,9,0
1,1,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-01-31,279,1
2,2,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-02-14,332,2
3,3,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-02-28,96,3
4,4,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-03-14,0,4
5,5,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-03-28,16,5
6,6,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-04-11,14,6
7,7,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-04-25,12,7
8,8,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-05-09,199,8
9,9,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-05-23,55,9
10,10,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-06-06,67,10
11,11,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-06-20,70,11
12,12,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-07-04,401,12
13,13,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-07-18,39,13
14,14,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-08-01,16,14
15,15,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-08-15,106,15
16,16,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-08-29,176,16
17,17,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022-09-12,156,17
